"Chunk Dimension","Document Name (last run)","Generated Value","What Generated TYPE","Precision Confidence Level","Accuracy Confidence Level","Description","Type","Allowed Values Format"
"doc_id","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","0fbf44f1-9348-4725-84c0-1cf796578645","Prior Generated","10.0","10.0","Unique identifier for the source document.","string",""
"doc_title","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","The_Saas_Marketing_Handbook-Final","Prior Generated","10.0","10.0","Human-readable title of the document.","string",""
"doc_version","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","Prior Generated","10.0","10.0","Document version tag or semver.","string",""
"source_type","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","pdf","Prior Generated","10.0","10.0","Ingest source format.","enum","pdf | docx | html | markdown | email | transcript | notion | spreadsheet | image+OCR"
"source_url","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","Prior Generated","10.0","10.0","Canonical URL or file path for provenance.","string","url|uri"
"author","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","Prior Generated","10.0","10.0","Document author or organization.","string",""
"doc_date","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","Prior Generated","10.0","10.0","Date of original authorship or publication.","datetime","YYYY-MM-DD"
"primary_category","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Complete Systems & Methodologies","Prior Generated","10.0","10.0","User-centric category (pick one) for business meaning.","enum","Core IP — Complete System (Author: BRAND) | Core IP — Major System Component (Author: BRAND) | Proprietary Strategy/Method (Author: BRAND) | Proprietary Insight/Framework Fragment (Author: BRAND) | Operational Playbook / Step-by-Step (Author: BRAND) | Signature Story / Origin / Distinctive Narrative (Author: BRAND) | Marketing Narrative — Benefits (Author: BRAND, non-divulgence) | Customer Conversation / Proof h-1 / h-2 / h-3 | External / Third-Party — Non-IP"
"chunk_id","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","0fbf44f1-9348-4725-84c0-1cf796578645#C001","Mechanically Generated","10.0","10.0","Stable unique ID for this chunk.","string",""
"section_heading","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","The World of SaaS","Mechanically Generated","10.0","10.0","Nearest section or heading title.","string",""
