Batch #,Conversation IDs,Tier,Status,Generation Date,Review Date,Quality Score,Reviewer,Notes
Tier1-Batch-01,"11,12,13,14,15",Tier 1 Template,Planning,,,,,
Tier1-Batch-02,"16,17,18,19,20",Tier 1 Template,Planning,,,,,
Tier1-Batch-03,"21,22,23,24,25",Tier 1 Template,Planning,,,,,
Tier1-Batch-04,"26,27,28,29,30",Tier 1 Template,Planning,,,,,
Tier1-Batch-05,"31,32,33,34,35",Tier 1 Template,Planning,,,,,
Tier1-Batch-06,"36,37,38,39,40",Tier 1 Template,Planning,,,,,
Tier1-Batch-07,"41,42,43,44,45",Tier 1 Template,Planning,,,,,
Tier1-Batch-08,"46,47,48,49,50",Tier 1 Template,Planning,,,,,
Tier2-Batch-01,"51,52,53,54,55",Tier 2 Scenario,Planning,,,,,
Tier2-Batch-02,"56,57,58,59,60",Tier 2 Scenario,Planning,,,,,
Tier2-Batch-03,"61,62,63,64,65",Tier 2 Scenario,Planning,,,,,
Tier2-Batch-04,"66,67,68,69,70",Tier 2 Scenario,Planning,,,,,
Tier2-Batch-05,"71,72,73,74,75",Tier 2 Scenario,Planning,,,,,
Tier2-Batch-06,"76,77,78,79,80",Tier 2 Scenario,Planning,,,,,
Tier2-Batch-07,"81,82,83,84,85",Tier 2 Scenario,Planning,,,,,
Tier3-Batch-01,"86,87,88,89,90",Tier 3 Edge Cases,Planning,,,,,
Tier3-Batch-02,"91,92,93,94,95",Tier 3 Edge Cases,Planning,,,,,
Tier3-Batch-03,"96,97,98,99,100",Tier 3 Edge Cases,Planning,,,,,
