id,run_id,document_id,run_name,total_chunks,total_dimensions,total_cost_usd,total_duration_ms,ai_model,status,error_message,started_at,completed_at,created_by
09137b50-540a-45d6-af89-ec506ccbb89a,e8d5e6d3-55e4-4648-823a-653fe7ef3f58,96543b40-9c94-4944-b405-7d7d055801ce,Dimension Generation - 2025-10-11T18:03:42.195Z,23,1380,0.42,253756,claude-sonnet-4-5-20250929,completed,,2025-10-11 18:03:42.329552+00,2025-10-11 18:07:56.119+00,
4e64bc6d-4334-41a5-89fc-2db5ab2b801d,201d9b69-ae3f-4b56-b68c-cf73b7104c2b,0fbf44f1-9348-4725-84c0-1cf796578645,Dimension Generation - 2025-10-10T19:58:47.893Z,24,1440,0.45,215366,claude-sonnet-4-5-20250929,completed,,2025-10-10 19:58:47.943692+00,2025-10-10 20:02:23.357+00,
7bf13ecb-1d93-41b4-a180-b73885478010,8a6be431-39fd-41d2-9b0a-8561235833d7,550e8400-e29b-41d4-a716-446655440012,Dimension Generation - 2025-10-08T18:57:08.895Z,15,0,0.00,0,claude-sonnet-4-5-20250929,failed,"500 {""type"":""error"",""error"":{""type"":""api_error"",""message"":""Overloaded""},""request_id"":null}",2025-10-08 18:57:08.960174+00,2025-10-08 18:58:44.355+00,
7cb90d5d-0728-43ab-98e5-68865cce4396,8eb0d92c-76b6-4a50-986b-7d33ae5a5c1d,550e8400-e29b-41d4-a716-446655440024,Dimension Generation - 2025-10-08T17:50:29.844Z,1,60,0.01,41784,claude-sonnet-4-5-20250929,completed,,2025-10-08 17:50:30.066133+00,2025-10-08 17:51:11.913+00,
8026fc7b-7d70-49a5-b10e-dd3064a79a60,ea95debe-98a4-46a3-b9f5-02ff93cfb8f2,3bf4634b-7124-4408-8d2d-d6720dc961de,Dimension Generation - 2025-10-11T20:21:26.205Z,25,1500,0.39,233587,claude-sonnet-4-5-20250929,completed,,2025-10-11 20:21:26.25487+00,2025-10-11 20:25:19.896+00,
a04469aa-9775-4543-92fa-fe78586ddf28,670c103f-7668-4002-bb09-5724696d2b8d,e83f1705-34d0-4adc-a187-af02b4e5f34a,Dimension Generation - 2025-10-11T23:10:35.933Z,21,1260,0.49,207701,claude-sonnet-4-5-20250929,completed,,2025-10-11 23:10:35.980232+00,2025-10-11 23:14:03.731+00,
a6892cc9-e664-4008-b1b4-77355a285ec9,a62053d9-ffb2-4500-8db7-52593859faee,96543b40-9c94-4944-b405-7d7d055801ce,Dimension Generation - 2025-10-11T03:17:00.548Z,23,0,0.00,0,claude-sonnet-4-5-20250929,failed,"malformed array literal: ""transformational, bold, unconventional, challenging, optimistic, action-oriented""",2025-10-11 03:17:00.601507+00,2025-10-11 03:17:16.548+00,
b42e60c9-163a-44d9-83d4-0bdf37d086f0,bf735fde-3631-4d4d-ae31-f900dfe1149b,550e8400-e29b-41d4-a716-446655440012,Dimension Generation - 2025-10-08T19:41:50.676Z,15,900,0.23,148722,claude-sonnet-4-5-20250929,completed,,2025-10-08 19:41:50.988791+00,2025-10-08 19:44:19.814+00,
b8d55bec-9c5a-4282-b1e7-8bccccecb9f5,1c14b9a8-caf0-4bda-a0f9-7c6c87ee33f1,96543b40-9c94-4944-b405-7d7d055801ce,Dimension Generation - 2025-10-11T03:18:50.662Z,23,0,0.00,0,claude-sonnet-4-5-20250929,failed,"malformed array literal: ""transformational, bold, challenging, optimistic, action-oriented""",2025-10-11 03:18:50.735554+00,2025-10-11 03:19:07.681+00,
e23611bc-ad97-47a8-823a-2c7a21ae12de,88a7f888-6228-411a-a2ca-86e9357c1964,5472e3b5-29c3-43b1-80ff-37aa77041441,Dimension Generation - 2025-10-11T18:42:51.994Z,27,1620,0.54,251271,claude-sonnet-4-5-20250929,completed,,2025-10-11 18:42:52.058426+00,2025-10-11 18:47:03.378+00,
f6b0f1db-adb5-46ea-a08d-a8135e481a1a,7f3920eb-08c8-4e9b-89b6-195e74ac879f,abd3063f-9cec-475d-a363-0b4e19ac9aa1,Dimension Generation - 2025-10-10T08:39:52.920Z,26,1560,0.50,249900,claude-sonnet-4-5-20250929,completed,,2025-10-10 08:39:52.968684+00,2025-10-10 08:44:02.916+00,
